Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 -1 83 1003 12 288 382 229 187 180 231 888 256 269 214
1 -1 19 757 25 229 206 199 157 223 173 153 124 131 121
2 -1 9 331 9 255 209 190 156 146 139 133 202 1994 133
3 -1 15 400 11 204 290 243 223 255 281 269 249 334 297
4 -1 21 208 17 175 211 167 233 195 183 205 203 206 187
5 -1 13 254 10 170 168 158 257 240 243 3714 249 185 174
6 -1 19 178 17 186 211 173 158 152 224 194 228 153 155
7 -1 13 176 13 138 152 134 106 87 122 123 147 147 152
8 -1 14 147 9 145 162 168 124 128 173 1114 173 133 113
9 -1 15 164 23 145 132 151 123 120 136 133 145 155 119
10 -1 15 235 11 172 135 122 124 95 112 136 142 163 137
11 -1 22 356 12 151 132 176 130 203 86 99 88 79 74
12 -1 21 179 17 159 169 148 182 149 164 148 140 148 144
13 -1 21 186 7 114 117 107 114 111 108 119 110 146 113
14 -1 31 211 16 162 152 147 149 153 141 174 174 153 154
15 -1 20 169 7 115 120 156 122 87 70 70 68 77 68
16 -1 10 127 6 111 124 120 108 85 93 71 105 111 116
17 -1 12 185 8 137 123 109 103 1216 333 154 158 103 100
18 -1 32 183 26 141 148 136 130 136 129 141 151 204 141
19 -1 12 132 7 188 117 101 105 104 94 87 96 91 89
20 -1 28 181 14 127 126 125 121 136 113 122 110 107 116
21 -1 17 142 11 119 114 110 103 112 109 100 102 143 113
22 -1 12 125 7 110 103 96 101 100 85 109 127 96 116
23 -1 16 157 11 192 117 101 115 105 112 108 100 101 104
24 -1 28 163 9 111 102 95 94 96 92 92 97 79 70
25 -1 30 201 26 155 155 137 108 166 200 148 118 103 106
26 -1 12 179 6 113 104 93 97 104 95 95 103 100 113
27 -1 16 147 8 126 110 120 107 105 96 2113 316 78 72
28 -1 12 185 7 429 100 71 63 122 101 107 102 90 96
29 -1 12 125 6 125 183 101 91 95 90 100 93 96 96
30 -1 13 177 10 111 105 95 103 94 101 96 75 63 63
31 -1 9 164 9 368 78 62 64 81 70 68 65 65 75
32 -1 14 152 10 94 69 69 65 82 106 101 103 100 89
33 -1 32 241 252 233 160 157 125 109 105 103 109 101 104
34 -1 60 605 19 121 91 76 83 75 75 77 72 88 73
35 -1 8 121 5 120 71 60 61 72 98 74 78 77 82
36 -1 14 187 22 116 122 115 140 130 113 104 80 80 75
37 -1 10 119 4 3647 147 104 91 87 85 85 93 85 89
38 -1 17 242 7 80 71 66 66 63 64 62 66 73 68
39 -1 6 118 5 103 104 97 105 89 90 104 80 85 63
40 -1 11 116 5 106 77 64 60 61 59 61 99 103 97
41 -1 18 139 16 122 131 125 94 86 84 78 80 82 79
42 -1 12 127 9 111 117 136 92 74 69 73 71 74 72
43 -1 8 108 8 101 96 96 280 102 59 67 66 61 81
44 -1 9 175 7 119 134 109 100 98 96 97 97 144 129
45 -1 8 120 14 105 82 57 105 79 78 82 80 85 76
46 -1 7 93 4 84 96 77 77 78 77 78 102 126 72
47 -1 7 64 3 66 84 97 80 83 111 78 78 83 1391
48 -1 15 180 4 179 94 115 74 72 60 66 59 63 65
49 -1 65 431 32 213 263 3085 176 144 137 129 130 130 132
