Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 -1 52 1080 13 306 519 913 343 276 266 287 249 257 230
1 -1 16 494 12 978 313 278 257 243 253 263 293 291 241
2 -1 79 826 25 309 257 268 230 208 203 205 201 207 236
3 -1 383 328 14 215 192 212 278 178 175 187 172 179 194
4 -1 69 1427 71 1219 916 671 786 796 767 2889 1090 1002 1053
5 -1 18 444 10 283 218 203 199 203 242 212 252 249 193
6 -1 438 380 9 169 172 161 235 168 164 158 168 207 164
7 -1 26 512 21 359 334 317 302 282 317 303 283 298 306
8 -1 13 801 10 239 226 256 210 215 216 294 250 227 219
9 -1 20 281 15 161 154 149 148 158 148 144 149 144 156
10 -1 291 2329 241 1932 1610 1133 1039 964 794 685 714 644 609
11 -1 119 581 83 603 634 700 686 756 949 971 1069 997 833
12 -1 20 388 14 378 277 169 205 220 220 202 218 214 218
13 -1 15 554 13 180 182 150 217 162 224 124 133 138 121
14 -1 77 742 70 620 611 651 1180 716 638 610 536 4530 955
15 15 79 470 68 363 365 372 415 401 392 412 390 406 410
16 -1 11 124 4 89 94 89 90 94 89 94 106 91 95
17 -1 18 472 12 253 3301 3787 459 290 259 6003 361 234 194
18 -1 12 161 6 120 128 131 124 125 142 118 128 123 127
19 -1 15 336 7 272 249 207 215 204 200 207 206 216 216
20 -1 9 133 5 501 1341 466 134 86 81 79 82 109 87
21 -1 431 361 19 182 211 155 166 173 166 168 167 166 168
22 -1 45 930 57 362 1074 297 890 277 168 896 291 209 169
23 -1 58 412 33 247 201 188 212 191 184 193 192 186 188
24 -1 9 208 4 145 128 124 120 138 117 126 116 121 119
25 -1 118 673 127 644 2791 877 648 650 715 781 837 1071 965
26 -1 18 243 9 104 105 97 105 99 108 97 100 97 104
27 -1 8 522 5 455 455 452 440 435 463 505 532 1318 674
28 -1 21 795 13 229 228 220 197 214 195 197 203 216 213
29 -1 17 710 12 128 142 100 98 105 107 178 110 104 117
30 -1 1750 565 7 288 264 257 254 264 256 257 485 327 263
31 -1 402 499 9 137 112 110 109 106 103 104 106 119 101
32 -1 16 1040 14 214 184 171 179 186 173 186 163 251 171
33 -1 31 398 18 132 134 136 511 1486 188 137 134 138 136
34 -1 19 582 14 101 92 82 90 99 83 88 89 86 82
35 -1 49 683 14 158 187 149 186 1175 272 171 186 161 161
36 -1 18 648 11 122 104 110 97 95 97 101 164 111 104
37 -1 23 262 13 112 111 103 116 185 128 103 107 102 125
38 -1 9 164 4 108 103 109 520 137 101 96 100 105 98
39 -1 17 136 8 92 96 93 92 95 102 100 89 96 129
40 -1 5 319 10 2524 199 72 66 67 77 68 73 68 77
41 -1 387 332 5 104 121 86 83 87 87 88 83 86 88
42 -1 11 394 4 182 160 149 161 169 154 146 146 144 151
43 -1 12 647 9 127 97 87 95 145 98 104 86 87 86
44 -1 13 144 5 69 82 69 66 76 69 70 77 68 64
45 -1 5 79 3 70 67 65 65 62 64 73 60 66 62
46 -1 5 79 3 66 61 64 62 60 61 60 62 61 61
47 -1 6 90 9 75 81 68 70 70 68 87 81 71 94
48 -1 5 84 3 66 102 77 62 66 151 71 229 63 61
49 -1 15 473 15 93 78 75 76 83 82 81 90 82 78
