Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 3 2786 26218 2031 9315 12117 36588 9998 8897 11172 9480 8565 10308 7498
1 3 2416 7882 1253 6011 6681 39054 5581 7080 6318 6543 6975 5889 6843
2 2 296 4528 140 4436 6350 4757 3318 4561 7691 5144 9875 5061 7647
3 3 1669 4547 940 3926 7892 43288 8328 5634 12654 5375 6081 5336 3907
4 3 921 4014 1437 3773 6188 40376 4387 4157 4443 4929 4854 4309 4810
5 3 1125 3648 938 3724 4145 35908 4819 4906 3770 4704 4550 4369 4658
6 3 1659 3930 1231 3839 4799 57694 4596 5003 7280 7116 4895 5389 4970
7 3 759 4308 770 5453 5848 38205 4552 5456 4037 4138 4320 4162 3882
8 3 1204 3908 992 5050 7303 50089 5031 4659 5139 5353 4866 4592 5551
9 3 1792 4556 748 3249 6484 37693 4800 4232 6646 5127 3968 5201 4260
10 3 1066 6272 1203 5133 5571 43966 5351 3985 5619 4100 4235 5804 5804
11 2 136 3394 130 2872 3530 3635 4021 4764 4582 5132 4054 4320 5889
12 2 200 3633 246 3212 3003 4694 4880 4395 4388 5006 4541 3850 5134
13 2 224 3677 215 3709 2901 2661 4318 4611 3786 4148 4867 5530 4077
14 3 983 3903 1142 5229 4903 33269 3772 4912 6005 7585 5784 5024 5079
15 3 1545 11592 768 5255 7524 39123 5951 4142 3852 4563 4879 5478 4103
16 3 1566 4600 1022 3142 4309 37287 5283 3863 3913 4469 5239 3878 3964
17 2 154 6766 169 3979 4993 4537 4956 4589 5170 5678 5703 5304 6116
18 2 143 3316 107 3373 4296 3668 3239 4092 4273 4473 5677 4570 4705
19 3 755 4081 701 4048 5004 33381 4480 7254 6372 5469 3953 4176 4822
20 2 152 3739 184 3690 3530 3812 4049 4941 5820 4388 3987 4177 4197
21 2 206 3787 118 4532 4192 4344 4109 4075 3741 5206 9225 9667 9456
22 3 1445 9226 1141 9187 10655 67318 10355 8279 6263 5976 6330 9295 11818
23 3 944 6694 701 7208 6246 48770 6400 8787 5686 5494 6421 5625 7097
24 2 107 4524 109 4304 4988 4233 4568 5446 13201 7169 6268 5631 6489
25 3 701 4692 622 4086 5821 36483 6040 5602 5612 4687 5159 7036 6345
26 2 114 5344 97 4461 3759 3014 4482 4650 4533 6171 5974 5128 5458
27 2 110 4569 207 4674 3776 4129 5897 6145 6311 7198 6343 5526 5896
28 2 139 3171 134 4482 4069 3813 5491 6859 4886 5504 5307 4665 4594
29 2 206 5246 130 4036 3850 3676 4573 4792 4750 4965 5082 4791 5807
30 3 854 4926 774 4704 6050 51399 5490 4006 5110 7118 5111 5161 4990
31 2 163 4483 192 4064 3909 3945 4919 4336 5586 4919 4694 7341 6204
32 3 663 4435 720 4681 5198 37618 5168 5111 4343 4346 4962 5237 4665
33 3 809 5420 1533 5253 10450 65147 17128 9681 10490 7642 8134 10012 9381
34 2 141 8783 113 4658 6459 8381 6599 9036 6342 6994 10278 6109 6834
35 3 992 5325 973 5618 10059 49871 11897 9523 6094 4523 5989 5638 4313
36 2 167 4843 136 4388 3458 2789 3341 6672 5856 4110 3961 5426 5201
37 2 99 3181 90 3766 4960 4095 4443 4972 4635 4642 5527 5990 4934
38 2 201 4058 121 3460 3360 2726 3191 7112 7640 5360 4903 4683 5178
39 2 127 4171 114 3713 3616 3519 4527 4780 6123 5021 4241 4975 5022
40 2 157 6120 169 4794 8238 6482 6748 5646 4894 5753 8079 5900 4922
41 3 1040 4086 928 3750 6478 41426 4455 5316 5215 4535 4964 5196 4628
42 2 103 3755 125 4703 4344 3706 4046 5324 4989 4562 4992 5347 4686
43 3 611 4327 865 5376 8246 39434 4926 5470 6824 6138 4838 5046 4614
44 2 141 3623 98 3625 3930 3556 4095 4525 4734 4696 4745 5999 4925
45 2 143 3124 118 2799 3026 3955 5693 4972 5125 6285 4850 5766 5987
46 2 136 4001 112 5045 4033 3332 5359 5248 5250 4844 5384 5594 4980
47 3 677 4939 643 5048 6855 37044 5152 4302 4042 7954 5839 4885 6349
48 3 829 5075 681 4727 5460 39821 5086 4886 4363 5333 5435 4113 3968
49 3 911 4499 1231 3961 5996 45290 4063 4689 5991 4303 4136 6260 5352
