Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 5 1924 16760 1245 7124 6476 7861 10351 41566 3402 6285 4463 3282 3363
1 5 1985 4271 1917 3775 2974 6223 9492 64697 2657 2331 2049 2225 2134
2 5 633 2745 915 2920 3289 4602 4929 43625 2221 1950 2051 2031 2109
3 4 334 1939 362 1875 2616 2314 10465 2547 2127 2200 2100 2507 2932
4 4 363 2831 300 6915 2194 1760 7786 2172 1794 1857 1850 1885 2220
5 2 19 2780 17 1668 1471 1439 1488 1540 1646 2276 2388 3094 2591
6 5 765 1842 779 6277 3137 5997 6675 66103 2545 2165 2866 2122 1760
7 4 194 1703 170 1504 1421 1395 4767 2011 1740 1796 1842 1899 2024
8 5 653 3340 882 2592 2875 5489 5146 45371 2225 4216 3031 3011 1812
9 5 656 1606 573 1987 1793 4487 5853 51042 2050 2479 3257 1977 2074
10 3 98 1741 89 1327 3990 2794 2264 1465 1609 1688 1700 1956 2231
11 5 1183 4943 758 2383 2059 5284 10577 68514 1819 2567 2191 2249 1780
12 6 564 1573 492 1494 1826 1923 2508 13124 117796 2447 2926 2533 2556
13 -1 7 1821 9 1620 1440 1365 1724 1689 1732 1884 2605 2965 2960
14 4 254 3241 226 3050 2976 5443 7170 3463 3540 3744 4097 4372 3820
15 4 245 3204 253 4080 3756 3505 9806 4119 5506 2860 2207 3940 2787
16 5 442 2340 452 2907 2404 5512 6149 51838 2116 3512 4705 2494 2802
17 -1 8 1548 6 1276 1125 4260 2034 1279 1153 1112 1179 1367 1177
18 6 819 3145 943 6756 4763 4720 5772 48306 194011 2010 1729 1664 1646
19 4 273 1547 291 1963 2281 2302 6500 1533 1435 1561 1586 1673 1691
20 5 445 1619 356 1947 2127 3175 3414 28589 1701 1618 1650 1671 1954
21 4 213 1834 201 2147 1969 1742 3516 1282 1432 1607 1716 1798 2473
22 2 27 1746 23 1439 1260 1249 1499 1521 1572 1569 1561 1952 1753
23 4 143 1487 100 1310 1348 1341 3337 1948 2246 2023 1886 2191 2127
24 4 362 1886 328 1729 1907 2186 8733 1640 1566 1635 1650 1828 2050
25 6 723 1685 534 1660 1992 2684 2961 28894 182073 1849 1701 1692 1716
26 4 252 2776 185 3067 2256 1601 4919 1567 2107 3234 2987 2332 1850
27 5 276 2531 360 2988 2623 2672 2468 23351 6168 2074 2091 2104 2338
28 5 426 2057 567 1707 2815 5051 4096 40050 2079 1801 1829 1845 1830
29 6 245 2763 300 2620 2593 2183 1624 8158 81976 2064 2052 1969 1679
30 4 191 1326 103 1182 1603 1546 7393 2245 1799 1779 1804 1824 1800
31 5 175 1657 170 1735 1716 2449 2751 21058 1869 2165 2429 1881 1853
32 5 392 1744 416 1684 1953 4054 5278 49088 2083 1977 2018 2020 1959
33 3 38 1452 26 2376 2006 1994 2107 2237 1778 1760 1964 2093 1944
34 3 46 1896 33 1449 1394 1503 1386 1473 1630 1978 2047 1948 1841
35 4 149 1590 113 1492 1519 1533 4760 1932 1688 1763 2237 1921 1807
36 6 757 1750 641 3516 3998 4396 3779 40000 225975 3881 3904 3525 3456
37 5 393 2452 397 4849 3560 5564 4507 39484 1813 1740 1717 1721 1725
38 5 334 2257 250 1792 1604 2420 2654 25102 2277 2027 1995 1968 1764
39 6 723 1981 448 3451 2678 2478 2335 23591 151004 2171 2045 1976 2500
40 5 627 2062 435 1605 2079 6464 6243 41752 1765 1700 1773 2182 1862
41 4 157 2134 82 3336 2543 1980 3715 2406 3659 3781 2528 2541 2570
42 5 574 2434 487 3210 3672 5973 10541 62925 2727 1998 1853 1830 1839
43 5 421 1902 377 1869 2179 4484 6193 59411 2144 1901 1865 1903 1839
44 5 385 3330 721 3027 2957 4068 7433 56190 1827 1944 2433 3918 3126
45 6 774 3063 577 1738 2193 9105 5338 57355 236526 1924 1733 1735 1842
46 5 520 1767 600 2021 2677 6245 7457 62846 2642 3255 2295 1769 1698
47 3 28 1432 17 1334 1326 1432 1867 1839 2560 2584 2619 2046 1857
48 6 481 3846 442 4043 2296 3355 3994 44792 212184 2312 2272 2694 2572
49 5 466 2022 332 1800 1743 3880 5209 50598 2314 1940 3085 2759 1722
