Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 -1 48 1030 9 354 664 418 452 378 390 1268 594 341 365
1 -1 20 537 29 515 513 375 429 396 329 229 601 317 236
2 -1 12 268 27 376 344 336 334 338 328 339 378 387 338
3 -1 17 406 12 280 227 213 229 230 219 210 214 220 229
4 -1 13 386 14 355 427 442 328 349 270 325 398 2255 338
5 -1 14 346 14 332 347 401 395 372 405 312 389 355 347
6 -1 19 433 17 390 349 339 433 348 318 326 300 399 295
7 -1 16 323 16 751 263 209 292 321 251 213 199 201 209
8 -1 18 362 11 261 292 277 249 299 263 316 253 255 258
9 -1 11 298 10 342 256 233 239 241 213 217 231 269 252
10 -1 14 271 11 393 375 203 181 186 193 328 270 223 197
11 -1 9 235 9 233 204 197 163 143 200 224 219 180 201
12 -1 13 219 8 208 221 174 142 154 142 147 151 133 157
13 -1 17 201 12 182 205 170 163 139 144 141 128 128 189
14 -1 14 184 9 211 197 163 125 142 122 186 237 198 182
15 -1 14 182 8 205 190 163 167 148 140 169 233 158 159
16 -1 15 178 7 190 167 242 166 189 183 172 154 448 128
17 -1 31 177 7 163 226 162 195 162 130 165 118 115 113
18 -1 20 229 8 213 147 121 135 115 111 103 101 149 123
19 -1 10 169 8 168 131 122 128 111 111 107 118 96 103
20 -1 9 132 7 134 169 140 109 101 102 98 98 98 100
21 -1 8 106 6 97 99 100 97 98 118 128 116 109 119
22 -1 20 206 12 167 151 142 177 110 105 108 105 100 97
23 -1 9 177 8 160 169 140 97 97 102 94 99 98 127
24 -1 12 158 10 148 153 140 187 123 134 148 115 122 137
25 -1 14 155 8 114 166 273 166 142 123 113 112 105 105
26 -1 13 249 10 163 153 125 135 164 105 98 93 98 116
27 -1 12 181 10 164 132 118 137 117 119 141 119 116 137
28 -1 9 137 8 136 141 116 113 149 116 117 137 136 192
29 -1 12 222 11 166 118 108 221 112 108 108 107 109 109
30 -1 33 138 7 139 139 118 204 135 113 96 97 91 75
31 -1 18 132 5 117 89 73 81 78 72 73 74 74 72
32 -1 5 82 4 72 126 116 124 117 76 83 77 76 78
33 -1 10 122 6 148 125 102 97 125 81 75 84 156 147
34 -1 9 218 8 120 115 127 128 111 121 111 111 107 107
35 -1 7 142 7 103 83 178 118 82 71 76 85 75 92
36 -1 11 180 9 157 127 146 152 155 134 115 100 112 105
37 -1 9 265 10 190 171 166 112 102 98 143 113 107 103
38 -1 11 175 9 168 174 185 142 130 131 136 130 125 134
39 -1 10 152 8 168 154 135 162 156 150 172 111 110 108
40 -1 13 205 9 155 106 95 100 89 74 101 68 59 60
41 -1 8 76 5 70 107 81 70 81 58 50 50 52 52
42 -1 6 85 4 82 78 67 69 74 53 50 80 71 96
43 -1 8 101 5 87 88 83 78 71 77 74 62 63 58
44 -1 7 109 7 117 84 74 87 90 72 70 68 68 70
45 -1 7 84 4 71 84 80 79 67 66 70 71 69 68
46 -1 6 87 5 74 70 68 69 69 68 74 67 66 70
47 -1 5 79 4 70 70 68 69 68 73 68 67 69 68
48 -1 4 97 4 80 75 77 70 69 66 75 68 70 70
49 -1 4 79 4 76 76 69 68 91 66 69 69 78 68
