Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 3 1226 15953 731 6260 6703 10009 7637 6339 6035 7549 5968 5254 8230
1 3 798 4690 364 6068 5283 6411 8107 5495 6087 5066 4321 3747 3899
2 4 2072 4379 1507 3787 4922 4969 75183 3796 2776 3014 3051 3267 3600
3 4 903 3368 954 3312 2781 3016 50367 4727 4779 3452 3482 4161 3268
4 4 842 10496 924 2791 2649 3611 68680 2443 2978 2914 2623 2443 2376
5 3 169 1710 126 1678 3064 3812 2208 3802 4180 3499 2941 3037 3086
6 4 744 2158 1050 2515 2884 3535 62310 2935 2952 2849 2333 2909 2417
7 4 958 2306 877 2334 3178 4258 71192 2513 2592 2721 3283 3528 2651
8 4 718 2371 586 2207 2645 4015 58803 2544 3054 3297 2811 2496 2687
9 3 211 2207 200 3453 2748 4938 1906 2161 2421 3386 2897 2685 2644
10 3 251 2536 232 2068 2630 4626 2478 2627 2813 3182 2798 2833 2504
11 3 291 2783 271 1974 3098 5404 1755 1922 2200 3713 3091 2924 3377
12 4 758 3067 678 2585 4119 3508 59938 3587 3286 3022 2366 2534 3063
13 3 549 3560 364 2517 2400 4164 3530 4349 3132 3001 2342 3576 2697
14 3 222 2299 171 2165 2221 4581 2960 2656 2685 2893 2821 2565 3259
15 4 927 3990 806 2338 2452 2763 51647 2651 3128 3200 3534 2919 2548
16 4 1129 2446 854 2507 3075 4758 87642 3105 3323 5675 2669 2801 2516
17 3 158 2252 141 2006 1966 3086 2384 2262 2423 2497 2541 2753 2740
18 3 223 2526 218 2057 2081 3785 1992 2990 3238 3334 3021 3360 4628
19 3 191 3134 180 2467 2607 3441 3367 3946 2428 2488 2322 2303 3137
20 3 247 3331 311 2304 1998 4664 2865 4261 3745 3436 3926 3902 3703
21 2 95 2010 66 1761 1727 1995 3004 2793 3957 2560 2327 2452 2543
22 3 296 2093 186 1770 3054 4566 3048 2479 2628 2698 3819 3750 4754
23 3 239 3122 216 1906 1718 3725 2033 2394 2618 2366 2314 2347 2317
24 3 187 2056 264 1910 2010 5284 2261 3049 4195 5324 3047 3367 4318
25 4 443 3198 418 2253 2887 3281 50475 3768 3747 2982 2881 2282 2436
26 3 356 2770 201 3392 2317 4231 2602 5125 4229 2401 2265 2428 3544
27 3 1018 2359 99 1979 1975 2912 2017 2502 4760 2555 2292 2309 2322
28 4 788 2899 1342 2506 2733 3941 74934 2667 2808 2601 2477 4788 2857
29 3 218 3825 168 2752 2508 5137 3093 3345 2748 2557 2929 2673 2494
30 2 18 2149 14 2248 3061 3405 2956 4190 2518 2344 2636 3002 2703
31 3 139 1940 115 2086 2338 3375 2521 2972 2543 2836 3065 2866 3069
32 3 151 2258 121 1914 1846 2799 1799 2091 2729 3106 2581 2628 2364
33 4 421 2017 347 2440 3081 2501 40734 2885 4187 2547 2321 2354 2445
34 4 842 2712 904 2942 3138 3929 84968 2528 4378 3604 2229 3897 2789
35 1 17 3561 8 3368 1951 2250 2681 3754 4472 3126 2404 2358 2461
36 3 272 4354 204 2086 2892 4250 2155 2550 3805 2871 3258 2558 2569
37 3 87 2501 73 2939 1963 2558 1948 2142 2704 3845 3021 2805 2368
38 2 51 1887 33 1801 2650 3296 2139 2001 2107 2122 2241 5355 3580
39 4 774 3238 698 2656 6584 5316 88505 3835 4832 2557 2551 2642 2733
40 3 218 2510 173 2306 2120 3896 2037 2645 2920 2612 2481 2518 2545
41 2 27 2207 34 2415 2174 1980 1986 2309 2494 2650 4490 3115 2780
42 3 231 2111 156 1858 1962 4021 2171 2194 2233 2361 2343 3492 4235
43 2 24 2682 16 1929 1844 1847 2229 2624 2923 2917 3132 3602 3383
44 3 199 2372 101 1976 1949 2817 1923 2432 3782 4190 2416 2119 2310
45 4 624 3396 628 2308 2656 3380 64761 2865 2919 3572 3270 2580 2354
46 3 146 1894 120 1807 2313 3336 1916 2356 2772 2463 2484 2765 2984
47 4 694 3522 641 3558 3618 6049 80066 3230 2717 2468 2470 2476 2754
48 3 179 2843 207 2369 2115 3718 1969 2515 3275 2743 2667 2848 2903
49 4 426 4465 832 3066 2667 2956 55580 2623 2482 2536 2653 2336 2599
