Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 2 1404 24888 1048 15751 16597 14751 15819 14609 17935 16474 12780 13793 13391
1 2 623 10245 511 10612 10681 10443 10189 12921 12694 9934 9148 9074 8572
2 2 694 8213 771 6852 11373 9299 14377 11814 9909 10988 9753 18250 8123
3 2 735 6607 659 8252 8361 6047 8027 8244 8755 8546 8357 7934 8168
4 2 351 8172 344 5184 5770 5086 7476 11260 10450 10542 6989 6646 8149
5 2 455 4843 436 5676 5418 4968 8405 7230 7549 7413 8527 7140 11930
6 2 384 5563 267 4281 5305 5040 5979 7759 7145 10147 7167 11710 8052
7 2 515 7491 322 6213 7532 6097 7944 8934 9562 8540 10514 9492 8648
8 2 539 5403 402 6851 5198 4633 7669 7197 10628 10335 8854 7669 13887
9 1 20 8631 27 5592 8397 7312 7692 8780 7550 7145 7082 10788 8575
10 2 395 6402 286 5938 6767 6341 8243 7905 8279 9654 12593 8089 9271
11 2 303 7171 430 9308 6571 7312 7504 9045 8734 11130 9097 7063 7345
12 2 423 7155 406 8835 6609 6945 10844 7471 8825 8794 8451 8348 8557
13 2 400 6507 326 6487 6243 6437 12339 8677 7230 8491 8524 8668 7862
14 2 382 8480 319 5843 6172 8693 8669 8380 10346 7815 7652 9423 8477
15 3 2791 8083 4170 9756 16419 222146 11351 8720 8646 7858 8230 8448 8131
16 2 533 6410 456 7497 7493 6495 8371 7780 11947 7823 7544 7869 8119
17 2 576 6305 454 6046 6800 6405 6894 9595 7286 8843 7963 10083 8698
18 2 638 6950 468 5763 6169 5232 9765 7229 11435 8497 9523 8237 8474
19 2 372 8657 396 6404 6401 9968 8154 11193 9165 10380 9545 8064 9115
20 2 442 10217 436 8416 8000 7523 12595 13495 11006 18298 12898 12666 12596
21 2 1270 6202 530 9213 6971 6356 8626 8496 8343 8180 8312 9116 8329
22 2 320 6173 332 7461 6576 6648 7904 8450 7767 9060 8479 10464 6929
23 2 428 6593 444 6132 7324 6378 6488 8899 7216 11371 7464 11870 12950
24 2 358 4993 321 6705 8514 6142 7749 8887 10403 10249 8213 7771 11045
25 2 486 7449 289 5877 6382 6534 8514 9107 8811 8464 10486 7540 9180
26 2 497 5246 354 5564 8136 5296 7831 8136 8869 10045 12298 9419 8991
27 2 360 5990 424 7845 8166 5168 6373 8100 6965 7463 8107 10315 8415
28 2 323 6985 591 5573 5159 7065 8902 6886 7286 7899 8800 7718 9984
29 2 463 8955 300 6739 6960 7085 7507 9390 7636 7896 7479 8336 8646
30 2 333 7100 328 5236 8614 6010 7260 8075 11494 7387 8380 6994 6935
31 2 339 5523 290 5517 5224 5046 6516 9245 7217 11532 8506 10064 9756
32 2 304 5704 206 4808 6228 5913 6870 9924 7985 9595 8495 10371 8775
33 2 466 6664 251 7494 5792 5393 9412 9995 10829 8797 7736 10497 9577
34 2 338 7743 289 6771 5754 7902 9601 9688 12509 9360 9348 10561 8384
35 3 3411 9124 3234 8764 11291 195457 8850 9227 8744 7341 11597 9984 11446
36 2 376 6936 246 6284 6228 7615 7074 8192 10071 11651 13513 9850 7320
37 2 1158 8379 311 7362 8260 7953 7570 11550 13555 10380 11345 11361 6712
38 2 297 6684 393 7379 5926 7346 8326 7860 10267 10976 10331 10257 10875
39 3 1943 8522 3261 13900 13168 202978 7386 8132 7623 9362 7794 8415 8761
40 3 1755 8272 2014 8350 13212 216771 12095 10802 10949 12216 9543 8414 9917
41 2 302 12140 328 10146 7841 6557 7623 11600 14002 13098 9067 9370 8095
42 2 234 7293 393 10356 9189 12702 7682 10462 8438 9516 12305 8742 9290
43 2 250 6094 323 6734 6954 6108 8863 7974 10792 8848 10528 7877 10548
44 2 232 6646 222 5939 6502 6780 7968 8677 7807 8203 9321 8527 6982
45 3 3037 7845 1775 7202 11643 185438 8822 7335 8324 6386 9115 7216 7508
46 2 615 7369 326 7373 7448 7231 10015 6818 9187 8227 8152 8128 8474
47 2 288 6115 252 6482 6233 6081 8200 8516 8109 8328 8279 8135 8100
48 2 284 6261 258 6024 6090 6116 7766 8285 7678 7649 7993 9776 8147
49 3 2511 9896 1664 7980 13131 169552 7991 7936 8905 8306 8508 8128 8467
