Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 3 1244 40754 1180 17477 21547 25582 16937 17404 17142 18274 21607 17697 19159
1 3 480 16403 425 16288 16418 17487 16064 16559 18891 16624 16970 16716 16472
2 4 2552 17240 2312 16348 17209 18125 107871 16352 16940 17018 16949 16962 16821
3 4 1627 16271 1283 16160 17164 17378 84560 16387 16890 16759 16865 20263 19199
4 4 1389 21673 930 16290 16990 17461 95562 16932 16768 16833 16750 16906 16813
5 3 319 15714 308 15925 16033 17652 15815 16405 16601 16577 16601 16677 16491
6 4 1191 16080 1026 16010 16707 17400 92073 16364 16514 16676 16393 16805 16732
7 4 1300 16266 893 16756 17244 17841 109586 16172 16592 16955 16967 16549 16654
8 4 1152 16284 720 16053 16858 17256 87416 21597 16610 16596 16632 16478 16515
9 3 433 15873 435 15979 16105 18574 16030 16549 16514 16828 16707 16627 16671
10 3 412 15625 276 15717 16071 18270 15938 16698 22150 16663 16656 16497 16757
11 3 372 15871 302 16029 15958 18582 20334 19498 16456 16402 16645 16447 16660
12 4 976 16193 1459 16331 16851 17476 95792 16060 16727 16341 16537 16752 16650
13 3 517 15751 386 15760 16023 20092 16530 16413 16585 16802 16677 16670 16580
14 3 266 15773 269 15695 16096 17513 15864 16510 16580 17355 16748 16676 16557
15 4 919 16210 812 15997 16368 16825 76514 16074 16435 16884 16453 16487 16733
16 4 1037 16130 1036 16438 17102 19091 122063 16769 17484 16670 16416 16412 16449
17 3 200 15982 235 15690 15887 16929 16207 16191 16314 16434 16638 16455 16470
18 3 337 15678 428 15704 15991 18324 15841 16209 16343 16417 16764 16537 16503
19 3 264 15733 170 15634 15705 16936 16267 16116 16860 16573 16577 16510 16669
20 3 319 15635 477 15644 15822 17936 15941 16207 16624 16737 16519 16828 16676
21 2 70 15683 106 15692 15741 15825 16005 16565 16947 16616 16724 16655 16556
22 3 277 15788 265 15884 15892 18256 19421 16433 16528 16752 16684 22234 16547
23 3 331 15854 322 15814 16152 19314 18342 19425 16717 16778 16892 16629 16534
24 3 204 15735 194 15917 15881 19168 15770 16263 16628 17235 17182 17438 18192
25 4 884 16997 546 20621 17041 16878 92259 16957 17423 17540 16798 16780 17416
26 3 444 15667 265 15878 15842 19044 16257 16278 16525 16682 16709 16559 16834
27 3 162 15696 213 16217 15969 17763 15795 16267 16502 16594 16594 16599 16542
28 4 956 16486 1041 16337 17392 18715 113969 16395 16689 16633 17579 16736 16582
29 3 306 15645 234 16838 16286 17776 16011 16272 16620 17690 16783 16774 17904
30 2 27 15526 57 15634 15938 16039 15853 16442 16679 16928 16864 19726 24898
31 3 183 31189 188 19172 15822 17527 16708 18170 18846 17322 16863 17145 16865
32 3 247 17360 268 15849 15841 17448 15693 16194 16598 16908 16654 16599 16711
33 4 861 16113 484 16114 16506 16701 65632 16264 16505 16691 16669 16616 16438
34 4 1323 16398 1208 16406 17636 19056 125368 16444 16600 16538 16633 16631 16717
35 1 22 15640 10 16111 15690 18888 15923 16347 16378 16789 16626 16591 16467
36 3 287 16037 187 15640 15793 17366 15986 16173 16497 16534 16397 16605 16640
37 3 113 15721 153 15792 15732 17155 15850 16248 16670 17186 16726 16577 27181
38 2 64 15857 43 16105 15614 15583 15763 16428 17544 16826 16556 16877 18027
39 4 948 16135 781 16482 17427 18809 115987 16425 17625 16752 16485 16465 16895
40 3 367 15930 350 17250 16013 19816 16298 16318 16378 17178 16825 16578 17974
41 2 48 15663 49 15614 15755 16350 16413 16250 16997 16468 16488 16503 16468
42 3 282 15836 228 15662 15952 18386 15916 16277 17074 16521 16832 17424 16584
43 2 49 15737 38 17057 15623 15568 15812 16213 16672 16710 16546 16840 16544
44 3 359 15756 195 15645 15689 17078 16492 16767 16483 16590 16623 16527 16465
45 4 701 16028 963 16132 16878 17770 112182 16275 16745 16642 16640 16875 16611
46 3 158 15710 212 15724 15807 17288 15923 16183 16500 16913 16669 16542 16699
47 4 981 16185 1048 16226 17316 18580 114843 16344 16554 16594 16693 16736 16509
48 3 267 15995 272 15798 15884 18282 21081 16337 16400 16480 16706 16713 16607
49 4 651 15951 758 16301 16764 17454 82868 16229 16513 16423 16474 16510 16310
