Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 3 3453 58147 1653 25591 25835 53720 24966 23750 23043 22576 22362 23071 22226
1 3 2724 22326 2284 21079 23216 64283 21407 23128 22051 23476 22696 22204 22293
2 2 258 20332 325 20696 20544 20506 21494 22042 22073 22028 22078 23579 23012
3 3 2571 21305 2054 21212 22994 70345 21270 22106 31709 22014 22193 21986 22039
4 3 1884 21215 1567 21139 23009 66006 21349 21989 21997 22224 22825 21955 22049
5 3 1651 21269 962 21132 22969 65381 21102 22206 21990 22214 21964 22074 21963
6 3 1328 21422 2013 21581 24192 85949 21469 21909 22148 22196 22129 21878 22454
7 3 1454 20850 764 20968 22408 60013 21030 22543 22104 22285 22152 21867 21965
8 3 2114 21569 1307 20978 23502 83771 22012 21858 22121 21835 22250 22166 21603
9 3 1471 21094 1225 21136 22913 63588 22997 22178 22595 22048 21927 21792 21802
10 3 1041 21000 848 21240 22847 69530 21246 21779 22398 22113 22155 21960 21719
11 2 362 21156 171 20256 20301 20684 21154 21594 22369 22232 21933 22332 21848
12 2 331 20434 205 20231 20360 20694 21435 22179 22193 22335 21790 21985 22339
13 2 306 20237 175 20301 20517 20303 21217 32501 22210 22165 22587 22051 21951
14 3 1113 21152 1379 21836 22541 67756 21177 22131 22100 21984 22024 22072 22327
15 3 1441 26151 971 20952 23035 67286 21649 22075 21819 21876 21905 21920 22046
16 3 1106 21160 1125 21019 22643 65385 22094 21716 22123 22235 22058 22025 22718
17 2 184 20220 214 20426 20430 20591 21464 21967 22240 21992 21970 22074 22085
18 2 121 20374 199 20193 20504 20226 20960 21899 22113 22369 21995 23201 22049
19 3 1767 21216 1434 20945 22820 61656 21106 21908 22007 21986 21912 22037 22109
20 2 320 20366 315 20329 20472 20325 21554 21984 22152 22561 22198 22131 22108
21 2 282 22859 190 23440 25903 21738 25905 24388 22754 23580 22196 22405 22039
22 3 1330 20943 1977 21421 22939 72714 21338 22887 21942 21868 21631 22491 21780
23 3 1187 21253 1221 21905 22278 67585 21090 22016 24256 21960 21785 22024 21851
24 2 100 20385 143 20416 20270 20120 21058 22170 22811 22054 22228 22550 22037
25 3 1379 21100 1038 21133 22765 64489 21396 22272 21916 21920 21924 22029 22380
26 2 172 20827 117 20115 20339 20232 21050 22066 21961 21998 23184 22013 21916
27 2 164 20233 230 20093 20412 20342 22282 21907 22032 21978 22018 22036 22090
28 2 272 20525 161 20305 20447 20404 21337 21955 21969 22049 22060 22152 23353
29 2 358 20402 194 20284 21590 20388 21163 22159 21947 22421 22097 21866 21985
30 3 1710 21325 1238 21324 23480 75730 21427 22363 22012 22026 22409 22124 21990
31 2 224 20401 286 20403 20779 20120 21176 22022 22018 21846 21938 22070 21896
32 3 1227 21106 1159 20987 22676 62834 21248 22692 22239 22121 22438 22381 22064
33 3 1093 21867 1567 21037 23185 69739 21150 22152 22244 22103 22111 25864 22322
34 2 172 20521 101 20836 20475 20762 21017 22026 21944 22001 22054 21723 22050
35 3 1468 20926 985 20830 22116 56224 21182 21984 21916 21823 21699 22046 22134
36 2 140 20254 199 20447 20470 20370 21032 21763 21859 24861 22098 21687 21970
37 2 137 20376 100 20273 20834 20971 21142 22030 21941 22895 22509 21920 21651
38 2 165 20278 117 20308 20398 20276 21302 21753 22206 21903 21587 21806 21797
39 2 188 21396 189 20287 20324 20874 20998 21941 21727 21807 23006 21821 22096
40 2 198 20477 192 20670 20635 20290 21113 21881 22059 21758 22151 21966 22236
41 3 967 21090 1703 21303 23258 69697 21206 22057 22179 22036 22057 22913 22098
42 2 162 20503 203 20337 20384 20280 21213 21885 21962 22657 22250 21999 22171
43 3 1158 22177 1664 21009 22615 66702 21240 22291 22030 22485 21936 22007 22018
44 2 194 20267 184 20382 20447 20382 21042 21989 25135 22621 22363 21957 21939
45 2 247 22675 236 20451 20781 20488 21319 22087 25832 21920 21911 22600 22194
46 2 129 20352 151 20155 20479 20750 21279 21997 21845 21786 22094 22112 21928
47 3 868 20861 1239 21094 22278 64847 21103 21899 21984 22002 21981 22097 22143
48 3 855 20955 1106 20989 23275 62626 21071 21927 22254 21696 21844 22149 21710
49 3 939 21196 1162 21437 22966 68362 21308 21908 21837 21886 21637 21589 21925
