Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 -1 51 11476 24 10685 10963 10647 10933 10734 11054 11195 10698 11036 10880
1 -1 23 10944 43 10488 10612 10610 10474 10463 10444 10860 10503 10873 11507
2 -1 32 11003 27 11462 10660 11063 10856 10978 11008 10983 11136 10939 10926
3 -1 19 12933 31 12194 11335 10681 10997 10928 10801 10553 10769 10969 11124
4 -1 26 10778 31 11032 10611 10482 10873 10980 10713 10564 10586 10944 10978
5 -1 18 10448 27 10882 10623 10432 10915 10934 10885 10942 11054 10686 10526
6 -1 27 10764 40 11488 10573 10426 10555 10953 10383 10407 10216 10402 10904
7 -1 28 10688 29 10973 10561 10423 10547 10615 10573 10793 10562 10559 10672
8 -1 21 10585 18 10569 10884 10563 10805 10790 10574 11140 10468 10653 10645
9 -1 19 10617 28 10664 10608 10513 10604 13576 10690 10348 10469 10664 10347
10 -1 27 10689 31 10610 10502 10447 10463 10392 10481 10429 10533 10876 10581
11 -1 17 11404 43 10796 10455 11016 11094 11022 10871 10968 10537 10675 10972
12 -1 30 11005 46 10679 11011 10688 11220 11038 10515 10393 10615 10650 10573
13 -1 18 10420 21 10702 10367 11083 10576 10520 10915 10870 10819 11029 13909
14 -1 72 13546 76 11257 11128 11003 10944 10919 10465 10399 11174 10628 10820
15 -1 16 10843 14 10350 10797 10809 10367 10514 10465 10421 10539 10483 10400
16 -1 19 10766 25 10879 10985 11006 11005 10473 10799 10412 10771 10862 10973
17 -1 24 10849 34 10969 10654 10872 10508 10973 11020 10961 10592 11180 10563
18 -1 32 10567 42 10912 10385 10909 10820 10757 10684 11707 11150 10711 10929
19 -1 20 10900 27 10572 10766 10981 10831 11139 10864 10844 10941 10417 11027
20 -1 58 10927 58 10937 11020 11016 11217 11537 10860 10746 10697 10413 10860
21 -1 21 10708 22 10887 10648 10720 10861 11075 10815 10525 10628 10619 10579
22 -1 14 10599 38 10805 10579 10523 11368 10490 11239 10606 10708 10541 10410
23 -1 20 10555 26 10433 10941 10986 10463 10704 10758 10304 10571 10949 10931
24 -1 36 11444 23 10422 10328 10448 10733 11077 10936 10865 11868 10512 10839
25 -1 33 10931 84 10444 11126 10412 11094 11024 10406 10480 10374 10790 10534
26 -1 14 10425 30 10867 10711 10280 10679 10324 11078 10861 10754 10769 10393
27 -1 15 10452 21 10567 10431 10805 10930 10816 10852 10451 10389 10611 10525
28 -1 12 10399 29 10491 10407 10370 10373 10393 10388 10424 10306 10343 10342
29 -1 17 10410 21 10286 10360 10505 11433 10291 10286 10291 10578 10411 10408
30 -1 16 10918 24 10357 10403 10418 10415 10353 10529 10727 11498 13666 12946
31 -1 16 12455 29 10407 11023 10355 10470 10340 10288 10398 10533 11147 10399
32 -1 26 10809 43 10886 10855 10674 10462 10730 10432 10784 10309 10824 10861
33 -1 40 10896 82 11027 10476 10872 10932 10977 11186 10849 10955 10993 10993
34 -1 54 10741 27 10522 10877 10897 10751 10892 10842 10520 10859 11065 10452
35 -1 13 10521 22 10767 10357 10876 10938 10510 11513 10839 10409 10676 10804
36 -1 18 10441 30 10810 10862 10792 11203 11109 10458 10923 10341 10374 10604
37 -1 18 10590 14 10857 10380 10699 10612 10590 10436 10206 10526 10616 10751
38 -1 16 10836 19 10544 10852 10811 10438 10366 10871 11615 10546 10849 10354
39 -1 12 10418 17 10854 10654 10518 11602 11524 10552 10628 10435 11648 10569
40 -1 12 10464 25 10862 10423 10499 10366 10899 10681 10975 10740 10451 10658
41 -1 27 10483 24 10834 10877 10780 10638 10704 10419 10535 11013 10202 11266
42 -1 28 11438 19 10679 11077 10496 10872 10814 10965 10819 10828 10526 11017
43 -1 16 11054 18 10917 10573 10546 10890 10791 11071 10430 10872 11124 10889
44 -1 12 11265 20 10705 11004 10934 10959 10902 10994 10972 10617 10935 11139
45 -1 29 10868 17 10808 11253 11109 10460 10404 11001 10985 11027 11004 10899
46 -1 11 11121 16 10663 11094 10558 11052 10620 10824 11017 10905 10637 10557
47 -1 52 10424 19 10523 11055 10805 10474 10639 10867 10905 10606 13594 12866
48 -1 38 13633 28 10848 10722 11049 11177 11022 10950 10614 10651 10744 10609
49 -1 31 10619 40 10566 10636 10773 10444 10489 10493 10533 10444 10666 10571
