Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 -1 99 10566 15 10207 10425 10046 9977 10011 10042 10813 10093 10004 10030
1 -1 22 10253 46 10206 9852 10332 10426 9953 10296 9772 9749 9932 9997
2 -1 19 9928 32 9898 9777 9965 9868 9790 9837 9799 9673 9804 9867
3 -1 22 9761 13 9636 9784 9931 10481 9709 9682 9968 9680 9754 9715
4 -1 16 9764 33 9689 9693 9968 9562 9881 9786 9821 9838 9880 10185
5 -1 28 10309 19 9796 9658 9676 9861 9836 9766 9617 9677 9666 9686
6 -1 17 9686 29 9790 10011 10029 10153 9908 9990 10035 9839 9855 10323
7 -1 26 9872 20 9764 10113 10279 10216 9840 10432 9704 9764 9546 10355
8 -1 22 10244 40 9977 10232 10202 10010 9664 9747 10097 10084 9867 9931
9 -1 21 10221 27 9679 10132 9887 10177 9980 9846 10320 9797 10192 9886
10 -1 35 9897 19 10061 9780 10200 9772 10541 10204 10254 10268 10125 10245
11 -1 21 10218 22 10167 10020 9955 10182 9873 10038 10533 9732 10357 10086
12 -1 17 9887 23 9906 10587 9850 10128 10020 9781 10267 9797 10238 9902
13 -1 28 10224 19 9784 9701 10191 12128 12817 13410 12364 10306 9660 10436
14 -1 21 9627 41 10085 10209 10112 9723 10190 9757 9619 10012 10067 10215
15 -1 20 9953 20 9832 10000 9998 10141 9813 10095 9969 9693 10600 10407
16 -1 17 9711 22 9593 10026 10056 9725 9715 9878 9700 10196 9810 9889
17 -1 20 9924 23 10038 10041 10636 9643 9955 9975 10121 10000 10063 9628
18 -1 16 10480 28 10120 9857 9843 9975 10003 9847 9944 9866 9423 9985
19 -1 20 9706 31 10021 10075 10078 10037 10312 9734 11664 10246 10015 10153
20 -1 26 9722 18 9794 10035 9591 10280 10207 9719 9697 9580 10425 9622
21 -1 14 9951 23 9655 9661 10290 9895 9773 10148 9680 10075 10111 10052
22 -1 21 9725 19 10129 10095 9957 10603 10178 9987 10183 10048 10106 9665
23 -1 21 10089 19 10072 10272 10071 9759 10051 10123 9701 10004 10093 10139
24 -1 16 9795 29 10109 10040 9659 9713 9708 9655 9508 9593 9699 9652
25 -1 26 9789 23 9681 9543 9832 9716 9516 9799 9673 9935 9743 9603
26 -1 20 9679 25 9914 9744 9581 9702 9577 9646 9757 10136 9829 9581
27 -1 24 9759 25 10526 9711 10259 9535 9609 9691 9753 9652 9456 9581
28 -1 18 9859 29 9598 9547 9659 9576 9689 10425 9900 9768 9964 9689
29 -1 14 9605 23 9603 9669 9674 10044 9968 9951 10080 10041 9950 9598
30 -1 49 9897 33 10379 10035 10055 9952 10030 9968 10361 9780 10124 9791
31 -1 19 9882 20 10018 11553 10496 10008 9818 11490 11609 10017 10205 9758
32 -1 14 9836 21 10163 10171 9812 10824 10136 10337 10106 9701 10166 10064
33 -1 14 9840 23 10127 9659 9886 10089 10193 10098 10133 9902 10043 10006
34 -1 21 9945 19 9840 10032 10020 10345 9750 9612 10077 10113 9913 10169
35 -1 18 10231 15 10171 9573 9679 9647 10126 9734 9853 9619 9695 10186
36 -1 18 9596 22 9826 9717 9721 10149 10064 9860 9811 10136 10037 10023
37 -1 16 10100 19 10151 10145 10196 9639 9993 9881 10255 10764 10796 10186
38 -1 14 10279 28 9814 10461 9712 9850 10088 10122 10043 10067 9811 10201
39 -1 24 9962 21 9707 10060 9853 10223 9797 9617 9973 10146 10181 10188
40 -1 16 10202 25 9535 9721 10372 9983 10168 9790 10078 10161 10115 9980
41 -1 17 10039 28 9726 10145 10021 10021 10202 9757 10024 10774 9926 10044
42 -1 17 10207 23 10003 9907 10118 9673 9976 10109 10017 10057 10121 10217
43 -1 25 9841 20 10088 10013 10053 9744 9994 10119 10080 9959 10240 9949
44 -1 23 9713 18 9865 10215 10189 9843 10025 10268 9828 10129 9850 10142
45 -1 26 9797 21 9889 10007 10043 10191 9892 10114 10587 10262 10073 9865
46 -1 14 10116 22 9929 10107 9772 10130 10011 10143 9724 9612 11125 9703
47 -1 16 9647 9 9650 9610 9670 9646 9627 9632 9409 9594 9688 9624
48 -1 14 9956 39 10001 9581 9680 10099 9678 9699 9569 9670 9630 9799
49 -1 18 9550 24 9717 9630 9584 9657 13154 13992 14604 9749 9517 9688
