Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 5 2516 37313 1612 16607 15580 18813 18051 76800 13889 14100 14178 15956 14785
1 5 1524 14123 1808 15789 17558 20022 23260 115514 14404 14872 14102 14354 13990
2 5 1175 13682 1038 13655 14701 18540 19465 93315 14408 14285 14266 14096 14083
3 4 874 13606 560 13354 13689 13985 24635 13810 13700 14981 14090 14103 14234
4 4 578 13340 555 18142 13427 13443 21170 13390 13794 13917 13944 14012 14066
5 2 23 13307 18 12906 13039 13057 13179 13188 13577 13693 14056 13981 14052
6 5 1019 13555 787 13838 15013 19471 23073 123235 13889 14048 14383 14040 14000
7 4 244 13320 184 13115 13196 14343 18580 13325 13582 13941 14147 14141 13976
8 5 1195 13751 1104 13653 14293 18072 20013 106253 13991 14067 14380 13890 14039
9 5 634 13849 628 13498 14303 18228 20278 78240 13523 14084 13572 13942 13650
10 3 114 12904 98 12948 13181 13392 13045 13217 13679 13811 13789 13613 14153
11 5 1217 14118 856 13771 14672 19004 22365 102332 13642 13674 13547 13581 13599
12 6 834 13479 703 13349 13739 14020 14698 28559 150264 13623 13658 13713 13750
13 -1 8 12947 10 12997 12949 13170 13171 12906 13150 13023 12932 12906 12937
14 4 323 13103 223 13180 13153 13174 16928 12961 13489 13572 13503 13686 14159
15 4 429 13486 244 13031 13309 13442 17835 13392 16102 13909 13631 13565 13553
16 5 782 14142 575 14397 16470 18181 18777 69034 13414 13523 14462 14369 14174
17 -1 9 13697 11 13276 17514 12944 12984 12909 12865 12952 12872 12739 12932
18 6 1310 13663 1297 15509 14444 15860 16563 58581 266500 13649 13631 13696 13474
19 4 291 13347 390 12974 13066 13607 18847 13327 14152 14402 16472 18971 20291
20 5 523 21330 541 15093 13556 17836 16044 51637 13326 14216 13760 13637 13694
21 4 207 13007 179 13341 13138 13000 16330 13023 13381 13712 13728 13671 13648
22 2 46 13007 38 13444 12946 13002 12992 13401 13754 14290 13608 13512 13922
23 4 191 13021 155 12986 12938 13512 16161 12966 13460 14297 13540 13564 13999
24 4 560 13297 542 13277 13358 13564 22865 13233 13784 13848 13634 13539 13565
25 6 1018 13893 657 13509 13807 15299 15864 51323 242500 13831 14034 13478 13841
26 4 331 13253 239 13026 13273 13236 22906 13362 13675 14248 13758 13664 14133
27 5 450 13473 332 13237 13201 14567 14928 43344 13253 13625 13469 13591 13671
28 5 775 13206 398 13267 13774 15822 16916 64810 13481 14576 13590 13914 13636
29 6 485 13047 297 13216 13605 13643 13381 22451 116749 13215 13579 13855 13910
30 4 185 13715 242 13071 13168 13250 18313 13018 14082 13969 13575 13575 13637
31 5 405 13287 235 12919 13236 14632 14496 38600 13220 13481 13682 13624 13519
32 5 683 13304 712 13268 13790 16725 19134 78650 13902 13835 13534 13897 13481
33 3 45 13218 35 13106 13167 13003 13421 13148 13108 13467 13514 13689 14453
34 3 51 13415 45 13015 12967 13305 13059 13041 13343 13387 13616 13811 14260
35 4 225 13087 163 13025 13051 13235 17230 13528 13321 13679 13470 13761 13886
36 6 1219 14568 1228 13578 14517 20299 19561 59671 254685 13506 13525 13468 13691
37 5 670 13684 593 13322 13383 15517 16597 57453 13311 13813 13406 13518 13739
38 5 274 13245 362 13147 13120 15095 14942 41154 13133 13455 13757 13625 13745
39 6 878 14146 709 13320 13712 14381 14294 37137 205712 13397 13649 13662 14487
40 5 809 13431 448 13182 13784 16547 17107 67870 13171 13637 13597 13691 13699
41 4 197 13070 88 13842 13004 12992 14719 12958 13133 13469 13530 13736 13444
42 5 680 13209 470 13297 13746 16425 24471 76926 13453 13788 13529 13512 13688
43 5 657 13393 734 13443 13939 17036 19288 86247 13763 13619 13548 13443 15115
44 5 642 14429 657 13669 16801 20852 21820 87746 13464 13471 13729 13646 14137
45 6 990 14825 959 13552 14199 16256 18018 75817 278972 13655 13507 13739 14893
46 5 586 21232 511 25497 14346 21203 19755 86168 13326 13331 13597 13791 13587
47 3 29 12963 25 12769 12735 13110 12927 13158 14099 13589 13619 13499 13480
48 6 690 13331 747 13482 14083 15580 16080 61626 258518 13559 13677 13637 13396
49 5 637 13260 439 13623 13807 16541 17938 75613 13338 13857 13704 13692 13533
