Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 -1 72 10650 38 10407 10628 10811 10549 9902 9968 9834 9980 9943 9851
1 -1 27 9966 19 9932 9887 10088 10634 10037 9969 10011 10023 9738 9706
2 -1 28 10195 46 10212 10108 10302 10249 10169 9844 10264 9736 10344 9912
3 -1 22 10390 32 9719 9838 9861 10103 9712 10006 9733 9678 9775 10086
4 -1 92 11407 87 11247 10718 10523 10047 10483 10921 10210 10221 10151 10792
5 -1 15 9731 23 10132 9863 10059 10225 9987 10166 9740 10117 10293 9784
6 -1 15 10002 30 9811 10231 10304 9656 9814 10104 10153 9789 9923 10049
7 -1 29 9960 49 9971 9965 9860 10110 10247 10076 9948 10039 9926 9948
8 -1 20 10013 22 10215 9821 9945 10012 10039 10057 10178 9988 10269 10163
9 -1 22 9622 36 10118 10174 9884 10021 10135 10081 9605 10251 9969 9981
10 -1 378 13319 287 10572 11720 11018 10598 10572 10592 10737 10646 11234 11069
11 -1 143 10602 333 10600 11237 10431 10410 10245 10041 10455 11128 10298 10661
12 -1 15 9747 18 10060 9811 10132 11062 13263 14121 14583 10273 9899 10360
13 -1 20 9595 19 10078 9763 10035 10174 9824 10903 9522 9818 10072 9736
14 -1 86 10069 98 10647 10403 10144 10023 10139 10020 10138 10144 10322 10686
15 15 93 10480 117 10303 10379 10976 10232 10606 9861 10378 10028 10045 10086
16 -1 53 9521 30 10741 9705 9681 9631 9711 9566 9693 9613 9705 9656
17 -1 15 10672 17 9847 9813 9904 9782 10083 9865 9876 9828 9888 10678
18 -1 14 9773 22 9792 9565 10028 10035 10035 10000 9981 9992 9678 9719
19 -1 15 9928 13 10569 10232 9850 9968 11103 10015 9769 9830 9752 9905
20 -1 13 9666 21 9863 10285 9837 9994 10106 10009 10330 9789 10128 10003
21 -1 22 10273 25 10340 10732 9881 10098 10107 9886 10196 10285 10631 10330
22 -1 26 9968 26 9812 10110 10133 9764 10125 10089 10511 9713 9756 10175
23 -1 40 9804 48 9797 10113 9514 9497 10320 9706 10218 9756 10233 9742
24 -1 12 10149 13 9634 10089 10124 10063 9994 10174 9645 10019 10150 10205
25 -1 104 10632 159 9933 10158 10005 10201 9919 10291 10115 10742 10987 10975
26 -1 16 9622 34 10094 10133 9748 10581 10159 9399 9986 10079 10073 10087
27 -1 18 9816 9 9891 9993 9979 9967 10026 10186 10644 10044 10193 10294
28 -1 18 10296 22 10105 10216 10199 9982 10153 10049 9513 10075 10100 9812
29 -1 12 9835 16 9616 9805 9744 10113 10235 9785 10769 10058 10148 10058
30 -1 13 9831 31 9622 10312 10807 10180 10091 10126 11954 12953 10962 10223
31 -1 10 9771 13 10104 10141 10312 9826 9838 10131 9971 10183 9940 9833
32 -1 11 9746 16 10164 10796 10024 10131 9838 9864 9697 9679 10084 10210
33 -1 24 9796 36 9695 10166 9859 10380 9916 10866 10180 10128 10267 9711
34 -1 17 9817 17 10027 9956 10390 9926 9805 9938 10199 9727 9766 10080
35 -1 22 10213 30 10257 9714 10135 10140 9838 9993 9818 9976 10591 10236
36 -1 14 10146 23 10157 10035 10299 9975 9868 10054 9887 11144 10062 9792
37 -1 24 10138 34 9852 11386 10543 10135 10223 9855 10010 9809 9644 10268
38 -1 9 11389 11 9748 9761 9939 9745 9657 9671 9794 9881 10017 10009
39 -1 14 10282 34 10525 9627 9640 9880 10049 9974 10079 9955 9634 9920
40 -1 12 11390 23 10920 9682 9718 9578 9579 9807 9891 10362 9759 11779
41 -1 11 9690 14 9806 10148 9550 9706 9833 9731 9773 9758 10586 9674
42 -1 12 9915 14 10010 10972 9753 9904 9820 10469 9902 10468 10167 10219
43 -1 14 9808 10 9911 10230 9710 10397 10013 9831 9954 10113 10046 9990
44 -1 22 9855 19 10105 9998 10176 9752 10452 9380 9919 9670 10233 9806
45 -1 14 10079 8 9701 9852 9789 9641 9975 9744 9962 10059 10043 9949
46 -1 16 9931 18 9965 9483 9548 9798 10063 10151 10071 10106 9673 9941
47 -1 19 10219 32 10484 10083 10378 10051 10419 10165 9644 9918 9980 10011
48 -1 14 9934 12 9836 10332 10648 10128 9620 10162 9834 10246 12936 10160
49 -1 17 10008 26 9951 9907 10081 10062 10520 10171 10137 10297 10287 9662
