Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 2 1479 70183 1612 36373 34395 32277 34599 34929 34409 32551 34096 32613 32681
1 2 1111 29605 1109 29715 29665 29366 31618 32663 32302 31926 32548 32417 32529
2 2 1088 30926 2246 29679 29769 29460 31988 32425 32390 32107 32002 37550 31874
3 2 675 29367 818 29310 29457 29369 32604 31711 32063 31529 31680 31655 32194
4 2 643 31129 492 29201 29407 29306 31637 31976 32147 32073 31988 31964 32224
5 2 466 29346 594 29247 29694 29389 32068 33594 31877 32336 32216 35752 36512
6 2 548 29767 426 30035 29475 29581 31854 32104 31839 31928 32073 32393 32567
7 2 732 29362 493 29357 29574 29444 31719 32200 32353 32323 32191 32513 32240
8 2 565 29550 481 30421 29647 29320 32184 32137 32313 32296 32218 31997 32031
9 1 25 28950 27 28821 28895 29451 31563 31989 32058 31820 31939 32143 32344
10 2 637 29436 491 29464 29527 29212 31861 32241 32204 32473 32156 31890 31943
11 2 656 30890 363 29319 29349 29392 32238 31691 31953 32140 31679 31870 32239
12 2 392 29503 542 29551 30108 29456 31934 32432 31969 32023 32014 31981 32056
13 2 580 29073 500 29041 29601 29394 32272 31853 31887 32041 32300 32028 32009
14 2 405 29443 440 29506 29529 29562 31898 33794 33713 32168 32496 32209 31920
15 3 3186 31936 3939 32077 37483 261380 31391 31840 32127 32005 32043 31954 31853
16 2 1021 29462 705 29419 29676 29412 32089 31917 32150 32125 32331 32502 41696
17 2 438 29145 426 29440 29666 29189 31483 32100 32097 32056 32096 32374 32360
18 2 763 29500 533 29361 29615 29343 31950 32096 31857 32205 32234 31921 31962
19 2 422 29369 1268 29163 31759 29384 31735 32356 31813 31774 32103 31788 31906
20 2 654 29205 549 29356 30141 29309 31738 32387 34020 34024 32319 32154 31941
21 2 557 29204 482 29129 29760 29293 32193 32293 32520 32186 32248 32116 32234
22 2 455 29267 424 29597 29802 29451 31843 32038 31797 31786 31946 31879 31785
23 2 413 29381 422 29100 29575 29358 31371 31758 31790 31723 32221 31804 31992
24 2 2472 29650 626 29255 29326 29303 31601 31611 32064 31888 31714 31891 31738
25 2 279 29114 477 29160 29362 30224 31541 31637 31688 31714 31682 31872 31548
26 2 646 29173 593 29014 29656 29294 31412 31623 31686 31925 31907 31732 31473
27 2 492 29305 494 29363 29403 29221 31148 31879 31758 31706 31904 31762 31625
28 2 562 29113 571 29320 29716 29387 31453 31720 31865 32106 31787 31688 31596
29 2 846 29248 434 29242 29258 29244 31376 31835 31874 31498 32052 31593 31624
30 2 410 29089 321 29025 29452 31780 31170 31712 31629 31658 31769 31716 31839
31 2 387 29105 603 29152 30134 29209 31871 31808 32327 31979 33516 32079 31702
32 2 269 29284 272 29091 29628 29334 31353 31987 31831 31638 31476 31812 32327
33 2 561 30129 406 29145 29452 29735 31457 31870 32034 32028 32209 32246 32100
34 2 430 29051 375 29224 29534 29397 31807 32076 32099 32073 32283 33059 32954
35 3 2296 31593 2732 31264 37106 287951 31614 32446 32419 32304 32301 32105 32048
36 2 436 29166 310 29109 29609 29565 31314 31767 31378 31681 31524 31934 32452
37 2 408 29225 375 29098 29870 29549 31676 32380 31886 31999 31894 31812 31779
38 2 565 29306 404 29247 29618 29340 31639 31670 31382 31957 32267 31510 31753
39 3 2775 31383 2939 31496 38527 257567 33414 34551 32296 32540 32217 31872 31687
40 3 2539 31614 2529 31182 37794 246857 31988 32194 32103 32437 32061 32363 34926
41 2 300 29680 431 30359 29547 29420 31300 32092 32229 32041 31681 31809 31628
42 2 432 29401 337 29121 29356 29173 31348 31614 31842 31654 31672 31729 31557
43 2 424 29514 561 29166 29763 29693 31419 32069 32232 31523 32127 31765 31678
44 2 424 29088 280 28958 29520 29340 31450 32339 32040 32017 31990 31928 32694
45 3 2731 31447 3124 31627 37521 265057 31763 31996 32240 32543 31924 32028 32033
46 2 419 29352 476 29399 29646 29226 31699 31652 32189 32048 32055 32071 32207
47 2 329 29109 300 29157 29518 29490 31706 32412 32084 32053 31964 31802 32295
48 2 707 29088 304 29288 29924 29163 31555 31973 32398 31936 32105 32011 31831
49 3 3042 31307 3367 31300 36662 233321 31957 32067 32036 31610 31663 32085 32073
